,Stock,Marketcap
0,GOOG,1733681490696.5625
1,TSLA,636098096288.7891
2,MSFT,3027755746754.5312
3,NVDA,1967525024414.0625
4,META,1241690132757.6719
5,AAPL,2820154184737.5
6,AMZN,1802629270727.5781
